Timestamp, 2021-09-24 17-42-14

Frequency (Hz), CH 1: PSD for Power 0.9dBm (dBm), CH 1: PSD for Power 0.8078dBm (dBm), CH 1: PSD for Power 0.8072dBm (dBm), CH 1: PSD for Power 0.8058dBm (dBm), CH 1: PSD for Power 0.8048dBm (dBm), CH 1: PSD for Power 0.8042dBm (dBm), CH 1: PSD for Power 0.8037dBm (dBm), CH 1: PSD for Power 0.8022dBm (dBm), CH 1: PSD for Power 0.8012dBm (dBm), CH 1: PSD for Power 0.8dBm (dBm), CH 1: PSD for Power 0.7987dBm (dBm), CH 1: PSD for Power 0.7974dBm (dBm), CH 1: PSD for Power 0.7953dBm (dBm), CH 1: PSD for Power 0.7939dBm (dBm), CH 1: PSD for Power 0.7924dBm (dBm), CH 1: PSD for Power 0.7908dBm (dBm), CH 1: PSD for Power 0.7893dBm (dBm), CH 1: PSD for Power 0.8095dBm (dBm), CH 1: PSD for Power 0.8096dBm (dBm), CH 1: PSD for Power 0.8098dBm (dBm), CH 1: PSD for Power 0.81dBm (dBm)
1050000.0, -92.18740844726562, -91.33500671386719, -91.31201934814453, -90.83854675292969, -90.22796630859375, -90.03156280517578, -90.22273254394531, -88.9491958618164, -88.71324157714844, -88.26667785644531, -87.7719497680664, -87.19477844238281, -86.08454895019531, -85.50985717773438, -84.47891998291016, -84.07914733886719, -83.25753021240234, -92.10795593261719, -91.9345703125, -91.89208984375, -92.07170104980469
1100000.0, -92.19834899902344, -91.5749740600586, -91.38127136230469, -90.64488220214844, -90.27626037597656, -89.99775695800781, -90.09852600097656, -89.16549682617188, -88.86924743652344, -88.35296630859375, -87.6324691772461, -87.1187973022461, -86.24696350097656, -85.32414245605469, -84.76622009277344, -83.8841552734375, -83.21223449707031, -92.091552734375, -91.98834228515625, -91.9551773071289, -91.90950012207031
1150000.0, -92.40906524658203, -91.26891326904297, -91.38450622558594, -90.87322235107422, -90.36500549316406, -90.02693939208984, -90.07833862304688, -88.96797180175781, -88.97808837890625, -87.99473571777344, -87.61003112792969, -87.00737762451172, -86.27586364746094, -85.35938262939453, -84.43505859375, -83.88807678222656, -83.32927703857422, -92.27403259277344, -91.9763412475586, -92.09896087646484, -92.03746032714844
1200000.0, -92.77454376220703, -91.6622314453125, -91.70259094238281, -90.95790100097656, -90.28508758544922, -90.21678161621094, -90.2713623046875, -89.01251983642578, -88.72611999511719, -88.12974548339844, -87.54977416992188, -87.08768463134766, -86.14030456542969, -85.53233337402344, -84.44791412353516, -84.02577209472656, -83.56071472167969, -92.15241241455078, -91.97102355957031, -92.28236389160156, -92.1844711303711
1250000.0, -92.53853607177734, -91.3945083618164, -91.6254653930664, -91.03028106689453, -90.4247817993164, -90.04754638671875, -90.08447265625, -88.84257507324219, -88.75422668457031, -88.31974792480469, -87.64930725097656, -86.98934173583984, -86.18839263916016, -85.35997772216797, -84.62580871582031, -83.9700927734375, -83.45960998535156, -92.31832122802734, -92.37812805175781, -92.14248657226562, -92.1066665649414
1300000.0, -92.64959716796875, -91.61708068847656, -91.8178939819336, -90.87730407714844, -90.37690734863281, -90.109130859375, -90.10408020019531, -88.9769058227539, -88.91822814941406, -88.2672119140625, -87.5719985961914, -87.03251647949219, -86.0951156616211, -85.35456848144531, -84.68262481689453, -83.82164764404297, -83.48619842529297, -92.34501647949219, -92.21195983886719, -92.50984954833984, -92.38508605957031
1350000.0, -92.90409851074219, -91.70185852050781, -91.85713958740234, -90.81684875488281, -90.41426849365234, -89.7838134765625, -90.06584167480469, -88.8313980102539, -88.69076538085938, -88.13221740722656, -87.4570541381836, -87.03730773925781, -86.23699188232422, -85.22514343261719, -84.27294158935547, -83.8491439819336, -83.46819305419922, -92.19190216064453, -92.334716796875, -92.12394714355469, -92.32445526123047
1400000.0, -92.66340637207031, -91.5123519897461, -91.59349060058594, -90.66829681396484, -90.14554595947266, -90.01067352294922, -89.86030578613281, -88.9254150390625, -88.92122650146484, -88.24684143066406, -87.6871337890625, -87.1175537109375, -86.14292907714844, -85.26615905761719, -84.61376953125, -83.78749084472656, -83.38099670410156, -92.08612060546875, -91.91886138916016, -92.24723052978516, -92.13116455078125
1450000.0, -92.8721694946289, -91.51313781738281, -91.75933837890625, -90.75410461425781, -90.40154266357422, -89.91064453125, -90.10850524902344, -88.90584564208984, -88.59931945800781, -88.16307830810547, -87.64897155761719, -87.10579681396484, -86.00852966308594, -85.21452331542969, -84.3910140991211, -83.80609893798828, -83.33252716064453, -91.95186614990234, -91.9649429321289, -92.21747589111328, -92.20915222167969
1500000.0, -92.86842346191406, -91.7598648071289, -91.84671020507812, -90.84883117675781, -90.25677490234375, -90.12342071533203, -90.02839660644531, -89.14607238769531, -88.87985229492188, -88.24323272705078, -87.72294616699219, -87.16582489013672, -85.92231750488281, -85.15718841552734, -84.44926452636719, -83.85728454589844, -83.50453186035156, -92.4000244140625, -92.46156311035156, -92.35069274902344, -92.1293716430664
1550000.0, -93.09529113769531, -91.7870864868164, -91.73197937011719, -91.060791015625, -90.4870376586914, -90.2591323852539, -90.15251159667969, -89.19174194335938, -88.77616882324219, -88.13784790039062, -87.84037017822266, -87.00260925292969, -86.06502532958984, -85.3745346069336, -84.56509399414062, -83.98121643066406, -83.44353485107422, -92.50493621826172, -92.30524444580078, -92.47090911865234, -92.62094116210938
1600000.0, -93.27339172363281, -92.09651947021484, -92.03910064697266, -91.12689208984375, -90.58096313476562, -90.32307434082031, -90.1496810913086, -89.12156677246094, -88.98277282714844, -88.18357849121094, -87.66102600097656, -86.94679260253906, -85.99405670166016, -85.31710052490234, -84.57350158691406, -83.86278533935547, -83.57662200927734, -92.65263366699219, -92.45185852050781, -92.65303802490234, -92.33702087402344
1650000.0, -93.23197937011719, -91.84529876708984, -92.02867126464844, -91.03776550292969, -90.66509246826172, -90.3100814819336, -90.2979965209961, -89.32015228271484, -88.77763366699219, -88.43421936035156, -87.95413970947266, -87.14454650878906, -86.05817413330078, -85.42523956298828, -84.51103973388672, -83.77247619628906, -83.61734771728516, -92.52588653564453, -92.45719146728516, -92.38936614990234, -92.74405670166016
1700000.0, -93.29078674316406, -92.03214263916016, -92.19219970703125, -91.19129943847656, -90.5709457397461, -90.40669250488281, -90.30665588378906, -89.26935577392578, -89.14280700683594, -88.38777160644531, -87.83438110351562, -87.12852478027344, -86.2174301147461, -85.61381530761719, -84.5537109375, -83.96669006347656, -83.58816528320312, -92.4455795288086, -92.51997375488281, -92.5427017211914, -92.53691101074219
1750000.0, -93.51786804199219, -92.10368347167969, -92.17012023925781, -91.27452850341797, -90.85011291503906, -90.41578674316406, -90.22038269042969, -89.24810028076172, -88.75886535644531, -88.22390747070312, -87.81490325927734, -87.27082061767578, -86.21440124511719, -85.50096130371094, -84.67735290527344, -83.90284729003906, -83.70673370361328, -92.64479064941406, -92.694091796875, -92.66148376464844, -92.76951599121094
1800000.0, -93.69686126708984, -92.27037811279297, -92.06694793701172, -91.1993179321289, -90.97230529785156, -90.68973541259766, -90.306640625, -89.19252014160156, -88.80137634277344, -88.51356506347656, -87.8214340209961, -87.19859313964844, -86.25139617919922, -85.58058166503906, -84.74720764160156, -84.092529296875, -83.85689544677734, -92.94755554199219, -93.04347229003906, -92.9653091430664, -92.7028579711914
1850000.0, -93.67279815673828, -92.53782653808594, -92.41612243652344, -91.55735778808594, -91.01274871826172, -90.69482421875, -90.32877349853516, -89.57958984375, -89.23658752441406, -88.43167114257812, -87.89167022705078, -87.26102447509766, -86.37794494628906, -85.596435546875, -84.84523010253906, -84.33094024658203, -84.00596618652344, -92.74958801269531, -93.0230484008789, -92.92015075683594, -92.8646240234375
1900000.0, -93.66926574707031, -92.53741455078125, -92.56217193603516, -91.68856048583984, -91.00080108642578, -90.65693664550781, -90.44219207763672, -89.48533630371094, -89.15374755859375, -88.50450897216797, -88.05247497558594, -87.41326141357422, -86.3007583618164, -85.69601440429688, -84.77620697021484, -84.1875, -83.86705017089844, -92.77772521972656, -93.12649536132812, -93.02725219726562, -92.97789001464844
1950000.0, -93.98829650878906, -92.65555572509766, -92.5939712524414, -91.64567565917969, -90.95707702636719, -90.66688537597656, -90.5386734008789, -89.86274719238281, -89.07038879394531, -88.71183776855469, -87.82471466064453, -87.40017700195312, -86.76608276367188, -85.73941040039062, -85.027587890625, -84.12531280517578, -84.08853912353516, -92.87376403808594, -92.91093444824219, -93.10601806640625, -93.12779235839844
2000000.0, -93.982177734375, -92.70830535888672, -92.62784576416016, -91.58716583251953, -90.96549987792969, -90.82184600830078, -90.51747131347656, -89.83412170410156, -89.11820220947266, -88.71736145019531, -87.80474853515625, -87.38653564453125, -86.62809753417969, -85.79205322265625, -84.98930358886719, -84.08448791503906, -84.17897033691406, -92.90217590332031, -92.95423889160156, -93.12592315673828, -93.1635971069336
2050000.0, -95.35160827636719, -93.85982513427734, -93.67585754394531, -92.64881134033203, -92.07857513427734, -91.45335388183594, -91.50617980957031, -90.64471435546875, -90.04310607910156, -89.26445007324219, -88.8558578491211, -87.96214294433594, -86.969482421875, -86.1056900024414, -85.5014419555664, -84.66075134277344, -84.5941162109375, -94.19908142089844, -94.3326644897461, -94.40465545654297, -94.21403503417969
2100000.0, -95.2910385131836, -93.96519470214844, -93.5894775390625, -92.55841827392578, -91.95271301269531, -91.7784652709961, -91.60868835449219, -90.3605728149414, -89.91756439208984, -89.38396453857422, -88.79852294921875, -88.101806640625, -87.04219818115234, -86.14837646484375, -85.51677703857422, -84.94694519042969, -84.61148834228516, -94.17546081542969, -94.02759552001953, -94.40494537353516, -94.46184539794922
2150000.0, -95.49480438232422, -93.95640563964844, -93.48320770263672, -92.64892578125, -91.97992706298828, -91.62810516357422, -91.5853042602539, -90.33033752441406, -90.07156372070312, -89.23661041259766, -88.95933532714844, -88.21391296386719, -87.24262237548828, -86.27421569824219, -85.4188232421875, -84.7093505859375, -84.63573455810547, -94.099365234375, -94.09664154052734, -94.32688903808594, -94.39872741699219
2200000.0, -95.36109924316406, -94.02212524414062, -93.75408172607422, -92.87557220458984, -92.21867370605469, -91.68385314941406, -91.68672180175781, -90.68636322021484, -90.0394515991211, -89.48486328125, -88.86194610595703, -88.15211486816406, -87.16272735595703, -86.30046081542969, -85.56291961669922, -84.7973861694336, -84.7868423461914, -94.45179748535156, -94.25870513916016, -94.37100219726562, -94.43991088867188
2250000.0, -95.69639587402344, -94.05079650878906, -93.7332763671875, -92.80876159667969, -92.23037719726562, -91.6566390991211, -91.52851867675781, -90.4890365600586, -89.9163589477539, -89.43605041503906, -88.7481460571289, -88.1364974975586, -87.14779663085938, -86.28582763671875, -85.5299301147461, -84.77489471435547, -84.7655258178711, -94.39608764648438, -94.1876220703125, -94.4592514038086, -94.54011535644531
2300000.0, -95.71783447265625, -93.92686462402344, -93.79682922363281, -92.65885925292969, -92.28926086425781, -91.71321868896484, -91.6296157836914, -90.45579528808594, -89.93275451660156, -89.37571716308594, -88.68273162841797, -88.02737426757812, -87.05767059326172, -86.35693359375, -85.54679870605469, -84.78886413574219, -84.8570785522461, -94.44770050048828, -94.32870483398438, -94.30604553222656, -94.54544067382812
2350000.0, -95.68257141113281, -94.04731750488281, -93.82392120361328, -92.60954284667969, -92.08782196044922, -91.58438873291016, -91.52113342285156, -90.48502349853516, -90.1571273803711, -89.39009094238281, -88.77263641357422, -88.08995056152344, -87.22684478759766, -86.32299041748047, -85.48169708251953, -84.65880584716797, -84.66536712646484, -94.35140228271484, -94.2635726928711, -94.63298034667969, -94.60365295410156
2400000.0, -95.71354675292969, -94.19465637207031, -93.7312240600586, -92.83686828613281, -92.06012725830078, -91.76374816894531, -91.71405029296875, -90.60225677490234, -90.05268859863281, -89.2650375366211, -88.87850189208984, -88.10139465332031, -87.29206085205078, -86.36578369140625, -85.38125610351562, -84.93104553222656, -84.61663818359375, -94.34046173095703, -94.29546356201172, -94.3505859375, -94.58161926269531
2450000.0, -95.7317123413086, -94.09745788574219, -93.86360168457031, -92.96110534667969, -92.0971908569336, -91.89979553222656, -91.50140380859375, -90.64250183105469, -89.89469909667969, -89.41722106933594, -88.73609924316406, -88.06697082519531, -86.98124694824219, -86.20069885253906, -85.58563995361328, -84.883056640625, -84.99418640136719, -94.43914794921875, -94.52305603027344, -94.36543273925781, -94.5297622680664
2500000.0, -95.83683776855469, -94.05818176269531, -93.77285766601562, -92.7593765258789, -92.26045227050781, -91.7745361328125, -91.62020111083984, -90.54924774169922, -90.0760498046875, -89.35694885253906, -88.83512878417969, -88.05937194824219, -87.0263900756836, -86.385986328125, -85.45433044433594, -84.65459442138672, -84.70356750488281, -94.38701629638672, -94.53816223144531, -94.51639556884766, -94.67520141601562
2550000.0, -96.01457214355469, -94.1242904663086, -93.93404388427734, -92.77696228027344, -92.17112731933594, -91.7853012084961, -91.49457550048828, -90.55641174316406, -90.21861267089844, -89.58057403564453, -88.71495056152344, -88.11376953125, -87.28843688964844, -86.34899139404297, -85.40354919433594, -84.84815979003906, -84.97855377197266, -94.45610046386719, -94.29273986816406, -94.47920227050781, -94.52836608886719
2600000.0, -96.05364990234375, -94.1624984741211, -93.7077865600586, -92.8204116821289, -92.07086181640625, -91.73690032958984, -91.53862762451172, -90.49068450927734, -90.14299774169922, -89.49049377441406, -88.82012939453125, -88.0988998413086, -87.16279602050781, -86.23258972167969, -85.36591339111328, -84.70234680175781, -84.88420104980469, -94.52366638183594, -94.50797271728516, -94.42176818847656, -94.32952880859375
2650000.0, -95.97810363769531, -94.07133483886719, -93.81971740722656, -92.86631774902344, -92.0295639038086, -91.82862854003906, -91.57121276855469, -90.59181213378906, -90.1311264038086, -89.45887756347656, -88.75930786132812, -88.14697265625, -87.1185302734375, -86.351318359375, -85.48946380615234, -84.78346252441406, -84.86650085449219, -94.50235748291016, -94.552001953125, -94.60797119140625, -94.58997344970703
2700000.0, -96.16569519042969, -94.32780456542969, -93.76239013671875, -92.78160095214844, -92.10475158691406, -91.86058807373047, -91.46395874023438, -90.3626937866211, -90.16552734375, -89.63216400146484, -88.81816864013672, -88.14437103271484, -87.19224548339844, -86.41462707519531, -85.49775695800781, -84.88533020019531, -84.94266510009766, -94.63256072998047, -94.64888000488281, -94.58329010009766, -94.71785736083984
2750000.0, -96.36138916015625, -94.45025634765625, -93.75118255615234, -92.73110961914062, -92.23892974853516, -92.01860046386719, -91.57994842529297, -90.55656433105469, -90.19468688964844, -89.59423828125, -88.87480163574219, -88.21778869628906, -87.30941009521484, -86.31888580322266, -85.3741226196289, -84.93180847167969, -84.82041931152344, -94.6611328125, -94.7411117553711, -94.49433898925781, -94.57441711425781
2800000.0, -96.27493286132812, -94.57234191894531, -93.80491638183594, -92.98448181152344, -92.40601348876953, -92.02922058105469, -91.80967712402344, -90.55268859863281, -90.14591979980469, -89.50611114501953, -88.89051818847656, -88.13117980957031, -87.2257080078125, -86.17662048339844, -85.2591781616211, -84.92318725585938, -85.05777740478516, -94.68092346191406, -94.34832000732422, -94.47991943359375, -94.82158660888672
2850000.0, -96.0377197265625, -94.36444091796875, -93.71006774902344, -92.8067626953125, -92.13175201416016, -91.92567443847656, -91.80686950683594, -90.53898620605469, -90.07559967041016, -89.330078125, -88.75932312011719, -88.1351547241211, -87.14350891113281, -86.31099700927734, -85.37985229492188, -84.81431579589844, -84.96585845947266, -94.56166076660156, -94.3294906616211, -94.51445007324219, -94.64080810546875
2900000.0, -96.05796813964844, -94.14717102050781, -93.80335998535156, -92.65675354003906, -92.272705078125, -91.88834381103516, -91.71932220458984, -90.51748657226562, -90.05021667480469, -89.4039306640625, -88.68343353271484, -88.17173767089844, -87.04024505615234, -86.25981140136719, -85.52505493164062, -84.98600769042969, -85.13142395019531, -94.28558349609375, -94.44447326660156, -94.5106430053711, -94.59504699707031
2950000.0, -96.34391021728516, -94.2599868774414, -93.8386001586914, -92.74613189697266, -92.406982421875, -91.8611068725586, -91.39955139160156, -90.41905212402344, -89.9621810913086, -89.39461517333984, -88.69902038574219, -88.12232971191406, -87.30354309082031, -86.27642059326172, -85.48896026611328, -85.0971908569336, -85.21757507324219, -94.5437240600586, -94.54257202148438, -94.69544982910156, -94.84956359863281
3000000.0, -96.53155517578125, -94.3641586303711, -93.93742370605469, -92.85894775390625, -92.40106201171875, -91.88749694824219, -91.54238891601562, -90.72811126708984, -90.31796264648438, -89.38421630859375, -88.81535339355469, -87.91081237792969, -87.28900909423828, -86.28758239746094, -85.52850341796875, -85.01905822753906, -85.25448608398438, -94.68278503417969, -94.66383361816406, -94.65956115722656, -94.78736114501953
3050000.0, -96.41900634765625, -94.50674438476562, -94.06387329101562, -93.04386901855469, -92.39897155761719, -91.9137954711914, -91.62281036376953, -90.57942199707031, -90.12772369384766, -89.42407989501953, -88.74821472167969, -88.13807678222656, -86.91380310058594, -86.29914855957031, -85.35541534423828, -84.82460021972656, -85.0916976928711, -94.65605163574219, -94.68907165527344, -94.88349914550781, -94.75199127197266
3100000.0, -96.44775390625, -94.51638793945312, -93.90505981445312, -93.07335662841797, -92.5203628540039, -91.88853454589844, -91.68480682373047, -90.73420715332031, -90.19728088378906, -89.37055969238281, -88.88932037353516, -88.1591796875, -86.9666976928711, -86.29998016357422, -85.54318237304688, -85.0387954711914, -85.28892517089844, -94.70407104492188, -94.7024154663086, -94.90028381347656, -94.81755065917969
3150000.0, -96.55022430419922, -94.49342346191406, -93.92765808105469, -93.11347961425781, -92.43956756591797, -91.96837615966797, -91.81456756591797, -90.7135238647461, -90.06346893310547, -89.54471588134766, -88.97126770019531, -88.0851821899414, -87.08121490478516, -86.30339813232422, -85.38739776611328, -85.02217102050781, -85.2530517578125, -94.86270904541016, -94.64508819580078, -94.58194732666016, -94.66195678710938
