Timestamp, 2021-09-24 12-09-31

Input Tap Average (dBm), DC Voltage (V)
nan, 1.084434E-4
-25.709384015996015, 2.272909E-4
-22.15493552892822, 3.981593E-4
-21.403537083878955, 6.378551E-4
-20.506488498102755, 6.486595E-4
-19.678799649328656, 7.370948E-4
-18.96354014716196, 8.09924E-4
-18.344559063653726, 8.355342E-4
-17.731890068145688, 8.807523E-4
-16.987038742331933, 6.594638E-4
-16.240686268478857, 6.87475E-4
-15.056264292286109, 4.129652E-4
-25.97188853009726, 5.082033E-4
-14.230794442949197, 2.521008E-4
-13.814172999152268, 3.721488E-4
-12.29028851960581, 4.857943E-4
-11.58179235354011, 6.134454E-4
-11.00366342913172, 1.2236895E-3
-9.943403028589016, 2.1112447E-3
-9.373697873215171, 2.8579431E-3
-8.655297724381295, 3.3797519E-3
