Frequency,Plus,Minus
23250000,-92.50633859,-91.77428109
23400000,-92.29946054,-92.12297897
23550000,-92.21559825,-91.6924194
23700000,-92.40384255,-91.80481257
23850000,-92.34469396,-92.17993657
24000000,-92.02918007,-92.00699751
24150000,-92.09403746,-92.29014716
24300000,-92.36235935,-92.55810256
24450000,-92.42075165,-92.26103545
24600000,-92.34341936,-92.47638571
24750000,-92.11687996,-92.14463139
24900000,-92.18711014,-92.23932242
25050000,-92.60199168,-92.28657026
25200000,-92.30092318,-92.17816568
25350000,-92.73307186,-91.9164266
25500000,-92.39760916,-92.07405143
25650000,-92.08493799,-92.41610208
25800000,-92.59460708,-92.14733451
25950000,-92.23273948,-92.33792018
26100000,-92.56787687,-92.32793571
26250000,-92.34232659,-92.38642018
26400000,-92.36553304,-92.4873873
26550000,-92.37036567,-92.15938396
26700000,-92.85885624,-92.8118007
26850000,-91.80661313,-92.74334312
27000000,-92.60192039,-92.15449849
27150000,-92.32011435,-92.6102729
27300000,-92.65313683,-92.54827521
27450000,-92.84413423,-92.926264
27600000,-92.53465212,-92.72463881
27750000,-92.73117032,-92.76066658
27900000,-92.55827625,-92.26516738
28050000,-92.59178745,-92.50503249
28200000,-92.72557323,-92.72283433
28350000,-92.94565606,-93.17075608
28500000,-92.85662748,-92.79465351
28650000,-92.86522467,-92.46020113
28800000,-92.47956236,-92.83746679
28950000,-92.92977725,-92.815271
29100000,-92.78389359,-92.67631709
29250000,-93.03356529,-92.97215249
29400000,-93.23428951,-92.94137513
29550000,-92.51120574,-92.71719228
29700000,-93.45331193,-92.69694171
29850000,-93.05320994,-92.81033248
30000000,-93.02686971,-93.12035089
30150000,-93.21879882,-93.02564324
30300000,-93.18806361,-93.72251507
30450000,-92.87084575,-93.06896915
30600000,-93.25514502,-93.1412038
30750000,-92.65441268,-92.93896732
30900000,-92.96319245,-92.85935342
31050000,-92.81961619,-92.85006929
31200000,-92.86650976,-93.25596748
31350000,-93.22483939,-93.62093238
31500000,-93.09667713,-93.41638301
31650000,-92.77728027,-92.85168493
31800000,-93.38504764,-93.28931546
31950000,-93.30337903,-92.86472608
32100000,-93.53966124,-92.86535015
32250000,-93.13932583,-93.58828739
32400000,-93.38538898,-93.41173083
32550000,-93.53409995,-93.14276245
32700000,-93.07186794,-93.33041762
32850000,-93.7413161,-93.29298796
33000000,-93.39433552,-93.71992403
33150000,-94.0929907,-92.73807596
33300000,-93.45423181,-93.26793663
33450000,-93.36559081,-93.21475697
33600000,-93.53206329,-94.15277192
33750000,-93.45816576,-93.43909807
33900000,-93.50757074,-93.67761303
34050000,-93.75440125,-93.23303916
34200000,-93.65806119,-93.70099401
34350000,-93.77502962,-93.70085464
34500000,-92.86832515,-93.45724461
34650000,-93.37723332,-93.83755419
34800000,-93.72810747,-93.85769573
34950000,-93.60406513,-93.47427588
35100000,-93.90500136,-93.64427085
35250000,-93.7784454,-92.88432224
35400000,-93.50477074,-93.49280072
35550000,-93.72394187,-93.82483813
35700000,-93.55692831,-93.86450837
